MEAN_PM25_AVG,GEOID,Median_age,Median_age___Male,Median_age___Female,Estimate__Total,area1,percent1,area4,percent4,MEAN_gridcode,,Less_than__10_000,F_10_000_to__14_999,F_15_000_to__19_999,F_20_000_to__24_999,F_25_000_to__29_999,F_30_000_to__34_999,F_35_000_to__39_999,F_40_000_to__44_999,F_45_000_to__49_999,F_50_000_to__59_999,F_60_000_to__74_999,F_75_000_to__99_999,F_100_000_to__124_999,F_125_000_to__149_999,F_150_000_to__199_999,F_200_000_or_more,No_schooling_completed,Nursery_school,Kindergarten,F1st_grade,F2nd_grade,F3rd_grade,F4th_grade,F5th_grade,F6th_grade,F7th_grade,F8th_grade,F9th_grade,F10th_grade,F11th_grade,F12th_grade__no_diploma,Regular_high_school_diploma,GED_or_alternative_credential,Some_college__less_than_1_year,Some_college__1_or_more_years__no_degree,Associate_s_degree,Bachelor_s_degree,Master_s_degree,Professional_school_degree,Doctorate_degree,Hispanic_or_Latino,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Other
7.516025833,261635006002.00,25.9,38.7,25.4,593,101018.8128,41.33566401,3431.347841,1.404065614,1932588.522,,0.052910053,0,0,0.227513228,0.037037037,0.264550265,0,0,0,0,0.137566138,0,0.253968254,0,0.026455026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075757576,0.412121212,0.03030303,0.045454545,0.272727273,0.142424242,0,0.021212121,0,0,0,0,1,0,0,0,0
7.516025833,261635006003.00,29,25.5,29,416,119065.7252,49.92127534,5400.00247,2.264085737,1266019.118,,0,0,0.074074074,0,0.022222222,0,0.385185185,0,0.348148148,0.17037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0.420833333,0,0,0.283333333,0.241666667,0.041666667,0,0,0,0,0.009615385,0.983173077,0,0,0,0.014423077
7.516025833,261635006004.00,29.7,39.3,29.5,380,65098.79376,31.5155185,4176.349339,2.021847215,3255641.632,,0.057803468,0.075144509,0.063583815,0,0,0,0.092485549,0.138728324,0.028901734,0.179190751,0.190751445,0.173410405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048148148,0.185185185,0.022222222,0.166666667,0.018518519,0.459259259,0.1,0,0,0,0,0,1,0,0,0,0
7.516025833,261635006005.00,18.4,11.9,24.9,584,85353.87467,20.75565346,9576.350124,2.328698086,3475000.32,,0.050724638,0,0.195652174,0,0,0.057971014,0.695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705627706,0.116883117,0.177489177,0,0,0,0,0,0,0,0,1,0,0,0,0
7.516025833,261635007001.00,21.4,13.3,27,1386,99511.9546,39.33403236,,,4794508,,0.187898089,0.130573248,0.073248408,0,0.070063694,0.025477707,0.108280255,0,0.187898089,0,0.101910828,0.025477707,0.057324841,0,0.031847134,0,0,0,0,0,0,0,0,0,0.051886792,0,0.039308176,0,0,0.119496855,0,0.45754717,0.018867925,0.034591195,0.121069182,0.012578616,0.116352201,0,0,0.028301887,0,0.025252525,0.974747475,0,0,0,0
7.516025833,261635007002.00,28.5,18.5,31.3,998,88619.43506,33.38717978,1539.460152,0.57998827,4604648.667,,0.189189189,0.027027027,0,0.097972973,0.070945946,0.067567568,0.094594595,0.054054054,0,0.070945946,0.168918919,0.033783784,0.125,0,0,0,0.015655577,0,0,0,0,0,0,0,0,0,0,0,0.04109589,0.060665362,0,0.473581213,0.062622309,0.052837573,0.070450098,0.154598826,0.068493151,0,0,0,0,0.031062124,0.799599198,0.102204409,0,0,0.134268537
7.516025833,261635007003.00,31.3,29.7,37.7,956,201014.1871,56.92392127,3576.735562,1.012872855,4313903,,0.189119171,0.080310881,0.062176166,0.056994819,0.075129534,0.082901554,0.082901554,0.152849741,0.023316062,0.07253886,0.082901554,0,0.038860104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060260586,0.141693811,0.081433225,0,0.42019544,0.057003257,0.027687296,0.118892508,0.039087948,0.053745928,0,0,0,0,0.011506276,0.988493724,0,0,0,0
7.516025833,261635007004.00,33.5,33.9,30.8,1268,137103.1517,39.38939623,4792.547538,1.376887049,6514934.647,,0.135951662,0,0.093655589,0,0,0.048338369,0,0.093655589,0.063444109,0.126888218,0.178247734,0.205438066,0.03021148,0.024169184,0,0,0,0,0,0,0,0,0,0,0,0,0.020979021,0.033799534,0.122377622,0.067599068,0.094405594,0.271561772,0.15034965,0.011655012,0.125874126,0,0.101398601,0,0,0,0,0.055205047,0.944794953,0,0,0,0
7.516025833,261635008001.00,29.8,23.1,34.5,1618,180094.7534,36.93045697,14364.38786,2.945579468,23010076.29,,0.085106383,0.145390071,0.030141844,0.092198582,0.076241135,0.031914894,0.053191489,0.078014184,0.012411348,0.138297872,0.05141844,0.067375887,0.127659574,0,0.010638298,0,0.006479482,0,0,0,0,0,0,0,0,0,0.016198704,0.01511879,0.010799136,0.064794816,0.032397408,0.277537797,0.139308855,0.012958963,0.258099352,0.086393089,0.061555076,0.018358531,0,0,0.00618047,0.082200247,0.90605686,0,0,0,0.023485785
7.516025833,261635008002.00,29.1,26,33.4,1561,118560.1268,37.3671877,3852.700722,1.214274942,4492387.769,,0.141762452,0.143678161,0.090038314,0.059386973,0.120689655,0.042145594,0.034482759,0.013409962,0,0.017241379,0.197318008,0.057471264,0.036398467,0.045977011,0,0,0.019375673,0,0,0,0,0,0,0,0,0,0,0.013993541,0.031216362,0.066738428,0.012917115,0.349838536,0.036598493,0.074273412,0.191603875,0.132400431,0.037674919,0.033369214,0,0,0,0.055092889,0.882767457,0.01409353,0.02178091,0,0.048046124
7.516025833,261635009001.00,32.8,33.4,32.3,1635,96196.96699,27.65305003,2416.196717,0.694566687,24840101.17,,0.297752809,0.050561798,0.078651685,0.106741573,0.014981273,0.078651685,0.101123596,0.028089888,0,0.074906367,0.061797753,0.041198502,0.065543071,0,0,0,0,0.009505703,0,0,0,0,0,0,0,0,0,0.007604563,0.016159696,0.185361217,0.031368821,0.383079848,0.045627376,0.123574144,0.173954373,0.007604563,0.016159696,0,0,0,0,0.032415902,0.945565749,0,0,0,0.044036697
7.516025833,261635009002.00,40.4,32.7,40.9,799,79142.63172,28.80200339,2163.591766,0.787385711,1785862.929,,0.172881356,0.057627119,0,0.057627119,0.061016949,0.213559322,0.020338983,0,0.088135593,0.176271186,0.033898305,0.054237288,0.06440678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060037523,0.026266417,0.084427767,0,0.198874296,0.183864916,0.046904315,0.240150094,0.108818011,0.031894934,0.018761726,0,0,0.031289111,0.007509387,0.981226533,0.01126408,0,0,0
7.516025833,261635009003.00,41.1,34.6,42.7,667,112907.3913,51.12751294,1476.344086,0.668528433,1572289.667,,0.115555556,0,0.177777778,0,0,0.164444444,0.053333333,0,0,0.213333333,0.035555556,0.044444444,0.04,0.155555556,0,0,0.024096386,0,0,0,0,0,0,0,0,0,0,0,0.048192771,0.122891566,0,0.224096386,0.024096386,0.019277108,0.404819277,0.110843373,0.021686747,0,0,0,0,0.031484258,0.968515742,0,0,0,0
7.516025833,261635009004.00,37.7,37.2,41.4,449,76141.094,23.59108856,2700.003021,0.83655234,3273515.818,,0.201298701,0.142857143,0.077922078,0.181818182,0.071428571,0,0,0,0,0.071428571,0,0.116883117,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039344262,0.042622951,0.144262295,0.144262295,0.029508197,0.118032787,0.124590164,0.121311475,0.068852459,0,0.137704918,0.029508197,0,0,0,0.122494432,0.877505568,0,0,0,0
7.516025833,261635010001.00,38.3,33.8,46.3,832,100626.7458,32.05567252,576.3502344,0.183602225,1891956.111,,0.19873817,0,0.044164038,0.104100946,0,0.066246057,0.252365931,0,0,0.05362776,0.044164038,0.050473186,0,0.104100946,0.082018927,0,0.001788909,0,0,0,0,0,0,0,0,0,0.01431127,0,0,0.053667263,0.107334526,0.372093023,0.08765653,0.059033989,0.177101968,0.035778175,0.046511628,0.044722719,0,0,0,0,1,0,0,0,0
7.516025833,261635010002.00,51,52.3,50.4,423,97703.79891,31.31233862,465.4518475,0.149169081,23168680,,0.290322581,0.14516129,0,0,0.129032258,0,0.024193548,0.080645161,0.012096774,0,0.213709677,0.10483871,0,0,0,0,0.029239766,0,0,0,0,0,0,0,0,0,0,0,0,0.108187135,0.026315789,0.368421053,0.043859649,0,0.254385965,0.169590643,0,0,0,0,0,0.075650118,0.924349882,0,0,0,0
7.516025833,261635010003.00,22.5,25.4,20.5,1839,107512.606,39.80864057,900.0013802,0.333243075,3480533.591,,0.138014528,0.070217918,0,0.041162228,0.094430993,0.099273608,0.11622276,0,0.02905569,0.167070218,0.04842615,0.196125908,0,0,0,0,0,0,0,0,0,0,0,0,0.011876485,0,0,0,0.058194774,0.141330166,0.060570071,0.331353919,0.045130641,0.049881235,0.273159145,0.028503563,0,0,0,0,0,0.008700381,0.985861881,0,0,0,0.010875476
