Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races",GEO_ID
360,0,352,0,0,0,0,8,0,8,1500000US261635126001
350,0,350,0,0,0,0,0,0,0,1500000US261635126002
229,5,222,0,0,0,0,2,0,2,1500000US261635126003
240,0,240,0,0,0,0,0,0,0,1500000US261635126004
522,95,377,0,0,0,50,0,0,0,1500000US261635129001
557,52,505,0,0,0,0,0,0,0,1500000US261635129002
149,0,149,0,0,0,0,0,0,0,1500000US261635129003
549,96,444,0,0,0,0,9,0,9,1500000US261635132001
518,31,473,0,8,0,0,6,0,6,1500000US261635132002
601,124,433,0,7,0,0,37,0,37,1500000US261635132003
1177,576,594,0,0,0,0,7,0,7,1500000US261635133001
1303,91,1120,0,15,0,38,39,0,39,1500000US261635133002
338,0,330,0,0,0,0,8,0,8,1500000US261635136001
1041,82,954,0,0,0,5,0,0,0,1500000US261635136002
1304,113,1171,0,20,0,0,0,0,0,1500000US261635137001
1102,0,1102,0,0,0,0,0,0,0,1500000US261635137002
1210,20,1141,0,0,0,0,49,0,49,1500000US261635137003
780,0,774,0,0,0,0,6,0,6,1500000US261635139001
959,0,959,0,0,0,0,0,0,0,1500000US261635139002
140,9,120,0,0,0,0,11,0,11,1500000US261635139003
786,26,728,0,0,0,0,32,0,32,1500000US261635141001
506,0,506,0,0,0,0,0,0,0,1500000US261635141002
574,37,530,0,0,0,0,7,0,7,1500000US261635141003
719,28,691,0,0,0,0,0,0,0,1500000US261635141004
511,0,511,0,0,0,0,0,0,0,1500000US261635142001
408,0,408,0,0,0,0,0,0,0,1500000US261635142002
472,25,447,0,0,0,0,0,0,0,1500000US261635142003
157,0,157,0,0,0,0,0,0,0,1500000US261635142004
719,3,716,0,0,0,0,0,0,0,1500000US261635142005
968,69,894,0,0,0,0,5,0,5,1500000US261635143001
518,16,502,0,0,0,0,0,0,0,1500000US261635143002
1064,19,1045,0,0,0,0,0,0,0,1500000US261635143003
428,0,428,0,0,0,0,0,0,0,1500000US261635145001
515,0,515,0,0,0,0,0,0,0,1500000US261635145002
1112,254,858,0,0,0,0,0,0,0,1500000US261635152001
839,127,704,0,8,0,0,0,0,0,1500000US261635152002
1221,634,510,0,8,0,30,39,0,39,1500000US261635153001
1388,30,1272,27,0,0,16,43,0,43,1500000US261635153002
563,118,439,0,6,0,0,0,0,0,1500000US261635153003
656,363,254,7,10,0,6,16,0,16,1500000US261635154001
977,546,379,5,36,0,0,11,0,11,1500000US261635154002
714,55,595,7,0,0,0,57,0,57,1500000US261635156001
742,0,742,0,0,0,0,0,0,0,1500000US261635156002
3078,1086,1977,0,0,0,15,0,0,0,1500000US261635157001
641,184,418,0,0,0,0,39,0,39,1500000US261635157002
746,0,746,0,0,0,0,0,0,0,1500000US261635159001
201,3,198,0,0,0,0,0,0,0,1500000US261635159002
393,24,363,0,3,0,2,1,0,1,1500000US261635159003
1104,253,829,0,0,0,1,21,0,21,1500000US261635160001
254,38,216,0,0,0,0,0,0,0,1500000US261635160002
478,0,463,0,0,0,8,7,7,0,1500000US261635160003
394,39,355,0,0,0,0,0,0,0,1500000US261635160004
217,0,217,0,0,0,0,0,0,0,1500000US261635161001
359,11,346,2,0,0,0,0,0,0,1500000US261635161002
237,6,217,0,0,0,0,14,0,14,1500000US261635162001
408,11,354,0,0,0,0,43,11,32,1500000US261635162002
720,140,575,0,0,0,5,0,0,0,1500000US261635163001
581,148,373,9,5,0,0,46,0,46,1500000US261635164001
274,26,235,0,0,0,0,13,0,13,1500000US261635164002
1901,697,1047,0,93,0,18,46,0,46,1500000US261635165001
1655,27,1611,17,0,0,0,0,0,0,1500000US261635166001
879,29,773,22,4,0,26,25,0,25,1500000US261635166002
2260,62,2103,0,43,0,0,52,0,52,1500000US261635167001
934,0,912,0,0,0,0,22,0,22,1500000US261635167002
477,83,381,0,0,0,0,13,0,13,1500000US261635168001
471,120,351,0,0,0,0,0,0,0,1500000US261635168002
2052,221,1777,0,0,0,0,54,0,54,1500000US261635169001
3111,1359,1421,0,282,0,11,38,0,38,1500000US261635170001
1167,435,664,6,33,0,0,29,0,29,1500000US261635171001
895,474,264,0,130,0,0,27,0,27,1500000US261635172001
1576,575,858,11,34,0,33,65,0,65,1500000US261635172002
1385,751,522,6,25,0,34,47,1,46,1500000US261635173001
1051,0,1051,0,0,0,0,0,0,0,1500000US261635173002
897,6,798,0,81,0,0,12,12,0,1500000US261635175001
1307,431,784,7,17,0,22,46,22,24,1500000US261635175002
487,29,394,0,64,0,0,0,0,0,1500000US261635175003
1227,667,287,0,196,0,6,71,0,71,1500000US261635180001
1636,194,1281,0,92,0,7,62,0,62,1500000US261635180002
181,97,81,3,0,0,0,0,0,0,1500000US261635184001
88,4,84,0,0,0,0,0,0,0,1500000US261635184002
228,61,161,6,0,0,0,0,0,0,1500000US261635185001
605,75,439,0,81,0,5,5,0,5,1500000US261635185002
227,15,195,6,0,0,0,11,0,11,1500000US261635186001
146,6,140,0,0,0,0,0,0,0,1500000US261635186002
272,51,221,0,0,0,0,0,0,0,1500000US261635188001
293,42,251,0,0,0,0,0,0,0,1500000US261635188002
1855,60,1783,0,0,0,0,12,7,5,1500000US261635189001
1517,763,222,0,417,0,40,75,61,14,1500000US261635202001
1621,982,370,0,203,6,10,50,0,50,1500000US261635202002
1996,1091,268,0,595,0,10,32,0,32,1500000US261635203001
628,236,139,0,129,9,18,97,0,97,1500000US261635203002
1941,556,1041,0,165,4,18,157,0,157,1500000US261635204001
1171,640,356,32,125,0,18,0,0,0,1500000US261635207001
1665,1022,499,0,91,0,31,22,0,22,1500000US261635207002
1728,649,693,24,310,0,25,27,0,27,1500000US261635208001
826,381,334,18,0,0,81,12,0,12,1500000US261635211001
