Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,GEO_ID
634,5,0,0,0,0,0,0,0,0,0,7,9,17,46,3,139,64,20,163,74,19,62,0,6,1500000US261635020001
480,0,0,0,0,0,0,0,0,0,0,16,0,0,20,19,167,21,10,103,47,24,45,8,0,1500000US261635020002
828,0,9,0,0,0,0,0,0,10,7,0,0,6,17,16,312,51,57,154,146,23,15,0,5,1500000US261635031001
654,7,0,0,0,0,0,0,0,0,0,0,7,12,22,61,260,29,38,142,41,31,0,0,4,1500000US261635031002
505,8,0,0,0,0,0,0,0,0,0,5,0,19,11,11,163,0,47,92,133,6,10,0,0,1500000US261635031003
592,23,0,0,0,0,0,0,0,0,0,0,0,8,41,10,200,38,59,47,158,0,8,0,0,1500000US261635032001
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,30,27,67,40,0,0,0,0,1500000US261635032002
471,0,0,0,0,0,0,0,0,0,0,0,0,0,28,75,185,9,0,106,57,11,0,0,0,1500000US261635032003
557,8,0,0,0,0,0,0,0,0,0,0,0,0,25,0,233,0,87,142,43,0,8,11,0,1500000US261635033001
720,0,0,0,0,0,0,0,0,0,0,0,0,0,58,19,126,55,129,177,137,6,13,0,0,1500000US261635033002
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,422,35,53,171,60,38,10,0,0,1500000US261635033003
324,0,0,0,0,0,0,0,0,0,0,0,0,0,98,7,126,20,0,31,42,0,0,0,0,1500000US261635033004
427,27,0,0,0,0,0,0,0,7,5,5,0,10,5,12,160,39,47,50,36,24,0,0,0,1500000US261635034001
303,0,0,0,0,0,0,0,0,5,0,0,0,14,0,5,48,47,54,98,11,7,10,0,4,1500000US261635034002
287,0,0,0,0,0,0,0,0,13,0,0,0,9,18,40,83,11,40,42,23,8,0,0,0,1500000US261635035001
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,17,10,39,0,0,0,0,1500000US261635035002
460,0,0,0,0,0,0,0,0,0,8,0,0,35,9,11,209,17,78,51,23,19,0,0,0,1500000US261635035003
154,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,51,0,39,32,0,0,0,0,0,1500000US261635035004
367,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,116,5,59,86,78,0,0,0,0,1500000US261635035005
262,6,0,0,0,0,0,0,0,0,0,0,0,5,3,8,140,21,17,35,25,2,0,0,0,1500000US261635036001
222,23,0,0,0,0,0,0,0,0,0,0,0,7,9,12,58,20,14,27,46,6,0,0,0,1500000US261635036002
541,4,0,0,0,0,0,0,0,0,0,0,0,16,9,23,115,16,72,120,94,54,18,0,0,1500000US261635036003
365,8,0,0,0,0,0,0,0,0,0,0,0,100,6,14,60,79,40,34,18,6,0,0,0,1500000US261635039001
174,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,57,7,5,55,22,0,0,0,0,1500000US261635039002
914,1,0,0,0,0,0,0,0,0,0,0,0,30,27,32,269,12,45,310,150,31,7,0,0,1500000US261635039003
491,0,0,0,0,0,0,0,0,7,0,0,0,15,7,33,198,20,9,187,9,0,6,0,0,1500000US261635040001
319,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,172,29,16,54,1,8,0,0,0,1500000US261635040002
156,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,45,48,8,5,40,0,0,0,0,1500000US261635041001
260,5,0,0,0,0,0,0,0,0,0,0,0,15,12,9,64,26,0,69,24,18,18,0,0,1500000US261635041002
457,0,0,0,0,0,0,0,6,0,9,0,0,65,23,54,150,38,0,68,17,22,5,0,0,1500000US261635041003
385,0,0,0,0,0,0,0,0,3,0,0,7,0,8,5,168,22,19,65,57,24,7,0,0,1500000US261635042001
280,8,0,0,0,0,0,0,0,0,0,0,0,39,10,0,64,15,21,65,0,37,21,0,0,1500000US261635042002
327,14,0,0,0,0,0,0,0,0,0,0,26,21,15,34,136,36,0,39,6,0,0,0,0,1500000US261635042003
159,20,0,0,0,0,0,0,0,0,0,0,0,0,33,23,49,0,10,5,6,7,6,0,0,1500000US261635042004
372,0,0,0,0,0,0,0,0,0,12,0,18,11,49,0,108,12,38,80,6,38,0,0,0,1500000US261635043001
539,34,0,0,0,0,0,0,0,0,0,22,32,29,0,12,231,42,48,45,17,6,21,0,0,1500000US261635043002
497,0,0,0,0,0,0,0,0,0,0,0,0,61,69,7,191,49,21,68,31,0,0,0,0,1500000US261635043003
379,0,0,0,0,0,0,0,0,0,0,0,0,16,64,34,102,23,3,45,43,40,9,0,0,1500000US261635044001
260,4,0,0,0,0,0,0,0,0,0,0,0,18,12,6,136,18,16,34,7,0,9,0,0,1500000US261635044002
265,19,0,0,0,0,0,0,0,0,0,0,0,11,40,0,47,54,12,82,0,0,0,0,0,1500000US261635044003
416,0,0,0,0,0,0,0,0,0,0,4,12,25,33,43,137,52,7,56,38,0,4,5,0,1500000US261635047001
388,0,0,0,0,0,0,0,0,0,4,0,17,12,66,45,76,13,20,74,12,49,0,0,0,1500000US261635047002
294,0,0,0,0,0,0,0,0,0,0,0,0,21,36,0,88,56,16,51,11,0,15,0,0,1500000US261635047003
171,0,0,0,0,0,0,0,0,0,0,14,0,0,0,23,29,13,9,72,6,5,0,0,0,1500000US261635048001
214,0,0,0,0,0,0,0,0,0,0,0,5,0,53,26,60,5,0,39,7,4,15,0,0,1500000US261635048002
278,28,0,0,0,0,0,0,0,0,0,0,0,10,8,0,49,16,28,46,23,61,9,0,0,1500000US261635049001
367,0,0,0,0,0,0,0,0,0,0,0,0,32,0,18,21,86,14,165,21,10,0,0,0,1500000US261635049002
1002,9,0,0,0,0,0,0,0,0,0,0,70,54,88,49,300,87,86,102,78,68,11,0,0,1500000US261635049003
527,25,0,0,0,0,0,0,0,0,0,0,0,0,7,0,161,34,48,153,73,4,22,0,0,1500000US261635049004
341,8,0,0,0,0,0,0,0,0,0,19,0,12,5,31,82,17,0,123,0,13,31,0,0,1500000US261635050001
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,12,5,29,19,0,0,0,1500000US261635050002
931,67,0,0,0,0,0,0,0,0,0,13,59,48,115,18,211,22,63,258,23,34,0,0,0,1500000US261635051001
499,0,0,0,0,0,0,0,0,29,0,0,0,11,12,0,242,1,1,99,36,49,19,0,0,1500000US261635051002
551,9,0,0,0,0,0,0,0,0,0,15,10,0,0,19,82,24,40,189,55,97,11,0,0,1500000US261635051003
120,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,56,28,0,0,0,6,10,0,0,1500000US261635051004
392,20,0,0,0,0,0,0,0,0,0,0,9,21,26,26,111,34,28,71,0,22,24,0,0,1500000US261635051005
614,0,0,0,0,0,0,0,0,0,15,0,0,4,51,43,229,73,30,96,46,0,27,0,0,1500000US261635052001
322,0,0,0,0,0,0,0,0,0,5,0,10,0,0,18,54,65,12,106,37,0,15,0,0,1500000US261635052002
314,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,132,18,61,46,13,14,0,0,0,1500000US261635052003
833,0,0,0,0,0,0,0,0,0,0,0,0,7,21,33,190,55,155,179,179,0,14,0,0,1500000US261635052004
607,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,31,31,145,50,0,8,0,0,1500000US261635054001
216,0,0,0,0,0,0,0,0,0,0,0,2,0,21,9,80,11,19,17,54,3,0,0,0,1500000US261635054002
230,0,0,0,0,0,0,0,0,0,0,0,0,7,24,20,106,27,0,24,22,0,0,0,0,1500000US261635054003
413,8,0,0,0,0,0,0,15,0,0,0,13,0,15,17,167,100,0,15,38,6,19,0,0,1500000US261635054004
517,6,0,0,0,0,0,5,3,0,0,0,12,30,12,0,128,102,25,131,27,36,0,0,0,1500000US261635055001
316,6,0,0,0,0,0,0,0,8,0,0,0,11,41,17,82,19,11,81,23,11,6,0,0,1500000US261635055002
710,13,0,0,0,0,0,0,0,0,2,0,0,7,38,33,256,27,85,73,113,55,8,0,0,1500000US261635061001
463,7,0,0,0,0,0,0,0,0,0,6,0,29,12,18,175,15,47,85,65,4,0,0,0,1500000US261635061002
697,0,0,0,0,0,6,0,0,0,0,0,0,46,15,16,331,39,18,127,41,19,39,0,0,1500000US261635062001
492,14,0,0,0,0,0,0,0,0,0,0,6,32,62,11,121,78,2,81,48,18,19,0,0,1500000US261635062002
333,5,0,0,0,0,0,0,0,1,0,14,8,18,27,0,78,56,14,42,38,32,0,0,0,1500000US261635063001
353,0,0,0,0,0,0,0,0,0,0,0,0,17,35,20,117,6,7,72,55,24,0,0,0,1500000US261635063002
616,24,0,0,0,0,0,0,0,0,7,0,14,15,4,49,158,94,44,119,48,32,8,0,0,1500000US261635063003
248,7,0,0,0,0,0,0,0,1,0,0,7,13,26,2,67,1,12,70,25,17,0,0,0,1500000US261635064001
255,7,0,0,0,0,0,0,0,0,0,7,33,0,7,0,74,15,20,37,34,21,0,0,0,1500000US261635064002
1047,72,0,0,0,0,0,0,0,0,26,9,13,42,61,9,156,387,143,110,5,12,0,0,2,1500000US261635064003
374,12,0,0,0,0,0,0,0,0,0,16,0,0,66,16,119,45,17,42,0,41,0,0,0,1500000US261635065001
566,0,0,0,0,0,0,0,0,0,0,0,29,41,106,12,208,17,12,90,38,6,7,0,0,1500000US261635065002
534,0,0,0,0,0,24,0,0,0,0,0,6,17,0,12,127,54,0,208,36,50,0,0,0,1500000US261635065003
428,17,0,0,0,0,0,0,0,0,0,44,0,7,26,0,98,86,8,77,65,0,0,0,0,1500000US261635066001
846,33,0,0,28,0,0,0,0,0,5,0,10,21,36,0,297,33,15,199,72,63,34,0,0,1500000US261635066002
284,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29,140,0,0,69,0,2,0,0,0,1500000US261635066003
502,70,54,0,0,0,0,0,0,0,0,0,0,0,69,1,178,14,16,51,35,14,0,0,0,1500000US261635066004
689,1,0,0,0,0,0,6,0,11,5,14,22,8,24,0,222,62,22,202,39,15,23,9,4,1500000US261635067001
675,14,0,0,0,0,0,0,15,0,0,0,0,0,0,0,219,98,47,179,27,76,0,0,0,1500000US261635068001
552,20,0,0,0,0,0,0,0,0,0,0,0,0,54,11,123,13,14,214,82,21,0,0,0,1500000US261635068002
1176,9,0,0,0,0,0,0,0,86,0,11,25,57,8,30,461,86,85,110,115,61,21,0,11,1500000US261635068003
237,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,116,12,0,24,54,5,0,8,0,1500000US261635068004
533,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,134,31,9,205,76,39,0,0,0,1500000US261635069001
432,20,0,0,0,0,0,0,0,0,0,0,0,56,39,12,124,10,34,99,25,13,0,0,0,1500000US261635069002
372,0,0,0,0,0,0,0,0,0,0,0,24,0,0,17,153,58,11,65,44,0,0,0,0,1500000US261635069003
516,0,0,0,0,0,0,0,0,0,0,26,5,90,0,0,94,109,19,85,13,75,0,0,0,1500000US261635069004
534,1,0,0,0,0,0,0,0,0,0,0,0,80,22,0,134,8,48,134,51,31,25,0,0,1500000US261635069005
836,8,0,0,0,0,0,0,0,0,0,0,0,75,114,56,214,68,23,168,51,20,39,0,0,1500000US261635070001
448,0,0,0,0,0,0,0,0,0,0,8,0,0,11,8,135,70,20,98,0,75,23,0,0,1500000US261635070002
409,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,49,65,63,138,0,37,7,0,0,1500000US261635070003
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,77,0,0,29,0,24,0,0,24,1500000US261635071001
631,0,0,0,0,0,0,0,0,0,0,0,0,30,0,19,186,22,72,193,20,58,31,0,0,1500000US261635071002
208,1,0,0,0,0,0,0,0,0,1,0,45,0,0,8,46,50,0,18,31,8,0,0,0,1500000US261635071003
473,0,0,0,0,0,0,0,0,0,0,72,0,0,10,0,57,48,23,163,53,47,0,0,0,1500000US261635071004
283,0,0,0,0,0,0,0,0,7,0,34,0,0,54,0,56,20,5,99,0,8,0,0,0,1500000US261635072001
436,9,0,0,0,0,0,0,0,0,0,0,10,0,47,53,123,16,6,58,60,25,24,5,0,1500000US261635072002
683,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,203,0,66,287,89,0,9,0,11,1500000US261635073001
331,0,0,0,0,0,0,0,0,0,0,8,0,13,9,10,110,26,30,56,40,17,12,0,0,1500000US261635073002
266,0,0,0,0,0,0,0,0,0,0,26,0,29,0,0,107,28,0,28,27,1,20,0,0,1500000US261635073003
364,9,0,0,0,0,0,0,12,0,0,0,0,0,12,11,136,15,0,95,42,32,0,0,0,1500000US261635074001
676,55,0,0,0,0,0,0,0,0,0,0,0,9,0,13,235,0,24,295,19,0,18,8,0,1500000US261635074002
371,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,79,26,40,159,0,34,12,0,0,1500000US261635074003
156,0,0,0,0,0,0,0,0,0,0,0,0,53,11,0,32,8,27,25,0,0,0,0,0,1500000US261635074004
608,0,0,0,0,0,0,0,0,18,0,10,19,6,45,30,121,52,46,150,56,49,6,0,0,1500000US261635075001
562,0,0,0,0,0,0,0,0,0,0,0,12,8,0,12,262,73,37,110,10,23,15,0,0,1500000US261635075002
188,25,0,8,0,0,0,0,0,0,0,0,13,0,0,18,62,18,25,13,0,6,0,0,0,1500000US261635075003
221,5,0,0,0,0,0,0,0,0,0,9,20,0,65,10,48,22,0,7,28,7,0,0,0,1500000US261635078001
67,0,0,0,0,0,0,0,0,0,0,0,0,1,49,10,1,1,0,1,0,0,0,0,4,1500000US261635078002
145,0,0,0,0,0,0,0,0,0,0,0,1,10,3,0,101,0,5,24,0,1,0,0,0,1500000US261635079001
125,0,0,0,0,0,0,0,0,0,0,0,0,12,5,8,25,0,15,7,38,10,5,0,0,1500000US261635079002
389,6,0,0,0,0,0,0,0,0,0,7,0,0,45,0,90,45,12,96,0,26,18,10,34,1500000US261635079003
117,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,17,41,0,0,0,24,0,0,0,1500000US261635079004
144,7,0,0,0,0,0,0,0,0,0,0,5,15,19,6,19,0,20,33,20,0,0,0,0,1500000US261635080001
607,13,0,7,0,0,0,0,0,7,0,0,18,58,78,13,191,19,35,76,79,6,7,0,0,1500000US261635080002
235,1,0,0,0,0,0,0,0,0,0,0,0,8,0,6,90,8,15,55,9,21,11,11,0,1500000US261635081001
77,0,0,0,0,0,0,0,0,0,0,0,7,7,14,0,12,0,18,8,0,11,0,0,0,1500000US261635081002
185,7,0,0,0,0,0,0,0,0,0,0,0,15,14,6,63,1,7,47,9,9,7,0,0,1500000US261635081003
196,18,0,0,0,0,0,0,0,0,0,0,0,14,42,28,60,0,16,18,0,0,0,0,0,1500000US261635081004
191,0,0,0,0,0,0,0,0,0,0,0,11,7,26,0,76,8,5,45,6,0,7,0,0,1500000US261635081005
146,0,0,0,0,0,0,0,5,0,0,0,0,4,31,0,23,0,29,54,0,0,0,0,0,1500000US261635104001
70,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,9,0,0,21,0,0,0,0,0,1500000US261635104002
152,12,0,0,0,0,0,0,0,0,0,0,0,11,0,0,45,23,6,35,16,4,0,0,0,1500000US261635104003
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,17,0,0,0,0,1500000US261635105001
967,0,0,0,0,11,12,0,92,10,18,16,3,157,17,0,258,0,50,115,52,107,13,3,33,1500000US261635105002
96,26,0,0,0,0,0,0,0,0,0,0,0,9,0,0,50,0,0,11,0,0,0,0,0,1500000US261635105003
1211,21,0,0,0,0,0,7,192,46,0,49,0,60,90,0,238,0,64,202,92,97,53,0,0,1500000US261635105004
530,12,0,0,0,0,0,0,0,0,0,21,49,16,11,0,132,0,9,202,27,25,26,0,0,1500000US261635106001
1273,63,0,0,0,0,0,0,21,0,20,92,52,9,0,186,161,40,8,229,0,329,55,8,0,1500000US261635106002
1441,40,0,0,0,0,16,0,154,47,32,48,36,105,38,43,495,57,9,97,55,142,27,0,0,1500000US261635106003
317,0,0,0,0,0,0,0,0,0,0,12,0,23,3,20,109,49,27,49,10,0,15,0,0,1500000US261635107001
684,106,0,0,0,0,0,0,37,11,35,23,8,12,40,18,229,3,12,59,22,52,17,0,0,1500000US261635107002
149,8,0,0,0,0,0,0,0,31,0,0,0,0,0,0,20,11,0,42,27,10,0,0,0,1500000US261635110001
121,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,16,7,13,39,0,0,19,0,0,1500000US261635110002
418,7,0,0,0,0,0,0,0,6,13,0,13,0,21,39,110,81,5,91,17,15,0,0,0,1500000US261635110003
314,4,0,3,0,0,0,0,0,0,6,0,10,0,37,26,86,5,21,84,13,7,12,0,0,1500000US261635110004
658,4,0,0,0,0,0,0,0,0,0,0,6,5,27,24,160,61,30,164,77,83,17,0,0,1500000US261635112001
166,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,19,39,37,26,12,10,0,0,0,1500000US261635112002
921,33,0,0,0,22,0,0,0,53,6,17,19,54,39,54,230,53,44,127,75,65,0,22,8,1500000US261635113001
311,0,0,0,0,0,0,0,0,0,6,26,0,0,14,0,107,0,42,68,6,19,17,6,0,1500000US261635113002
288,0,0,0,0,0,0,0,0,0,0,11,0,24,16,0,114,33,0,44,30,8,8,0,0,1500000US261635113003
233,0,0,0,0,0,0,0,0,0,21,0,0,0,42,26,61,8,0,30,33,12,0,0,0,1500000US261635114001
437,5,0,0,0,0,0,0,0,3,4,11,8,13,10,32,73,115,11,125,4,20,3,0,0,1500000US261635114002
189,0,0,0,0,0,9,0,0,0,0,16,0,4,9,0,36,53,20,34,8,0,0,0,0,1500000US261635114003
236,0,0,0,0,0,0,0,0,8,0,0,8,15,0,0,45,75,0,37,10,29,9,0,0,1500000US261635114004
526,0,0,0,0,0,0,0,0,0,29,0,0,57,22,0,128,28,9,104,10,57,65,9,8,1500000US261635114005
769,25,0,0,0,0,0,0,0,0,0,7,0,43,5,70,179,55,46,147,87,64,13,19,9,1500000US261635119001
298,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,40,44,20,80,18,55,23,0,0,1500000US261635119002
282,0,0,0,0,0,0,0,0,0,0,0,0,26,120,10,19,64,0,15,0,11,17,0,0,1500000US261635121001
437,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,157,33,18,171,0,16,0,8,0,1500000US261635121002
526,25,0,0,0,0,0,0,0,0,0,0,7,0,79,0,73,91,52,160,32,0,7,0,0,1500000US261635121003
