Estimate!!Total,GEO_ID
644,1500000US261635424001
906,1500000US261635424002
1213,1500000US261635424003
1123,1500000US261635425001
721,1500000US261635425002
819,1500000US261635425003
1359,1500000US261635426001
1026,1500000US261635426002
905,1500000US261635426003
441,1500000US261635426004
939,1500000US261635427001
586,1500000US261635428001
1273,1500000US261635428002
941,1500000US261635428003
880,1500000US261635429001
737,1500000US261635429002
1237,1500000US261635429003
999,1500000US261635429004
1214,1500000US261635430001
634,1500000US261635430002
1085,1500000US261635431001
1312,1500000US261635431002
1226,1500000US261635432001
358,1500000US261635432002
1264,1500000US261635432003
1258,1500000US261635434001
1502,1500000US261635434002
817,1500000US261635434003
374,1500000US261635435001
570,1500000US261635435002
195,1500000US261635436001
553,1500000US261635436002
336,1500000US261635436003
294,1500000US261635437001
1837,1500000US261635437002
489,1500000US261635437003
487,1500000US261635438001
290,1500000US261635438002
495,1500000US261635439001
287,1500000US261635439002
1054,1500000US261635440001
1580,1500000US261635440002
823,1500000US261635441001
815,1500000US261635441002
841,1500000US261635441003
616,1500000US261635442001
753,1500000US261635442002
412,1500000US261635442003
526,1500000US261635443001
367,1500000US261635443002
1495,1500000US261635443003
237,1500000US261635451001
286,1500000US261635451002
250,1500000US261635451003
411,1500000US261635452001
800,1500000US261635452002
678,1500000US261635452003
626,1500000US261635452004
401,1500000US261635453001
662,1500000US261635453002
1015,1500000US261635453003
1863,1500000US261635454001
657,1500000US261635455001
699,1500000US261635455002
455,1500000US261635455003
1055,1500000US261635455004
661,1500000US261635455005
475,1500000US261635455006
1217,1500000US261635456001
747,1500000US261635456002
1356,1500000US261635456003
1195,1500000US261635456004
988,1500000US261635456005
1857,1500000US261635457001
1542,1500000US261635457002
825,1500000US261635458001
1057,1500000US261635458002
1289,1500000US261635458003
1053,1500000US261635458004
1101,1500000US261635458005
1239,1500000US261635459001
560,1500000US261635459002
374,1500000US261635459003
605,1500000US261635459004
1222,1500000US261635459005
425,1500000US261635460001
494,1500000US261635460002
475,1500000US261635460003
473,1500000US261635460004
1219,1500000US261635460005
292,1500000US261635461001
1285,1500000US261635461002
825,1500000US261635461003
823,1500000US261635461004
354,1500000US261635461005
1155,1500000US261635462001
600,1500000US261635462002
920,1500000US261635462003
1270,1500000US261635462004
969,1500000US261635463001
1029,1500000US261635463002
343,1500000US261635464001
592,1500000US261635464002
1129,1500000US261635465001
1285,1500000US261635465002
576,1500000US261635466001
1008,1500000US261635466002
443,1500000US261635466003
215,1500000US261635467001
247,1500000US261635467002
811,1500000US261635467003
753,1500000US261635467004
679,1500000US261635467005
449,1500000US261635468001
723,1500000US261635468002
1736,1500000US261635468003
1017,1500000US261635468004
1061,1500000US261635469001
648,1500000US261635501001
773,1500000US261635501002
584,1500000US261635501003
603,1500000US261635501004
1399,1500000US261635501005
1312,1500000US261635502001
1362,1500000US261635502002
1314,1500000US261635502003
1302,1500000US261635503001
1856,1500000US261635503002
734,1500000US261635504001
814,1500000US261635504002
766,1500000US261635505001
1475,1500000US261635505002
1417,1500000US261635505003
614,1500000US261635506001
1196,1500000US261635506002
609,1500000US261635506003
1068,1500000US261635507001
676,1500000US261635507002
762,1500000US261635507003
471,1500000US261635507004
931,1500000US261635507005
1375,1500000US261635507006
747,1500000US261635508001
719,1500000US261635508002
883,1500000US261635509001
962,1500000US261635509002
890,1500000US261635509003
1271,1500000US261635511001
1239,1500000US261635511002
1293,1500000US261635511003
1107,1500000US261635511004
797,1500000US261635512001
545,1500000US261635512002
770,1500000US261635512003
1142,1500000US261635512004
748,1500000US261635512005
394,1500000US261635513001
637,1500000US261635513002
1529,1500000US261635513003
1070,1500000US261635513004
1020,1500000US261635514001
1009,1500000US261635514002
1166,1500000US261635514003
1011,1500000US261635514004
1183,1500000US261635515001
1284,1500000US261635515002
1220,1500000US261635516001
1678,1500000US261635516002
694,1500000US261635516003
1032,1500000US261635517001
1227,1500000US261635517002
947,1500000US261635517003
945,1500000US261635518001
1559,1500000US261635518002
876,1500000US261635518003
1843,1500000US261635520001
1455,1500000US261635520002
537,1500000US261635521001
599,1500000US261635521002
825,1500000US261635521003
714,1500000US261635521004
1139,1500000US261635521005
1576,1500000US261635522001
1187,1500000US261635522002
946,1500000US261635522003
1199,1500000US261635523001
937,1500000US261635523002
1068,1500000US261635523003
1046,1500000US261635524001
1796,1500000US261635524002
