Median age,Median age - Male,Median age - Female,id
22.2,19.8,33.5,1500000US261635242003
26.7,34.5,26.6,1500000US261635242004
22.6,25.1,19.1,1500000US261635242005
25.2,25.1,25.6,1500000US261635242006
38.5,37.6,40.9,1500000US261635243001
24.4,19.9,24.7,1500000US261635243002
25.1,28,20.5,1500000US261635243003
62.3,55.5,62.6,1500000US261635245001
45.6,50.7,28,1500000US261635245002
62.7,59.3,65.9,1500000US261635247001
48.4,45.6,48.8,1500000US261635247002
56,41,59,1500000US261635247003
49.6,40.6,75.3,1500000US261635247004
44.9,49.9,44.4,1500000US261635247005
36,27.2,37.6,1500000US261635247006
33,21.2,48.6,1500000US261635248001
33.6,20.9,33.7,1500000US261635248002
50.1,49.7,50.3,1500000US261635248003
58,58.1,57.6,1500000US261635248004
44.1,52.3,40,1500000US261635248005
34.8,34.9,27.8,1500000US261635249001
33,34.8,32.8,1500000US261635249002
-,-,-,1500000US261635250001
41.8,41.8,41.9,1500000US261635250002
29.8,31.4,29.1,1500000US261635250003
27.9,25.8,28.8,1500000US261635254001
30.6,14.7,32.9,1500000US261635254002
40.5,39.8,43.9,1500000US261635254003
36,28.9,55.2,1500000US261635255001
35.3,17.5,41.8,1500000US261635255002
25.1,31,20.9,1500000US261635256001
31.3,31.1,31.7,1500000US261635256002
24.6,22.8,26.1,1500000US261635257001
31.3,38.1,25.4,1500000US261635257002
33.6,31.6,34.5,1500000US261635257003
28.6,32.9,22.8,1500000US261635257004
25,25.3,23.8,1500000US261635258001
31.4,31.4,30,1500000US261635258002
29.6,27.4,33.4,1500000US261635260001
23.4,20.4,26.2,1500000US261635260002
16.5,15.4,17.8,1500000US261635261001
21.5,21.9,20.1,1500000US261635261002
26.2,28.2,24,1500000US261635262001
24.3,21,24.7,1500000US261635262002
26.3,26.7,23.9,1500000US261635262003
33.3,20.5,37.9,1500000US261635263001
22.7,17.1,27.8,1500000US261635263002
27.3,26.6,27.4,1500000US261635263003
24.8,32.1,24.2,1500000US261635264001
29.4,35.9,28.1,1500000US261635264002
44.6,44.8,43.8,1500000US261635265001
26.3,15.5,28.1,1500000US261635265002
40.7,43,35.5,1500000US261635265003
30.7,24.7,37,1500000US261635272001
30,36.3,29.5,1500000US261635272002
28,22.2,42.5,1500000US261635273001
30.2,21.8,30.7,1500000US261635273002
46,45.7,46.7,1500000US261635301001
46.6,46.6,49.1,1500000US261635301002
55.6,52.3,55.7,1500000US261635301003
44.5,44.5,44.4,1500000US261635301004
30.6,23.8,36.5,1500000US261635302001
41.5,35.5,42.4,1500000US261635302002
58.8,58.8,57,1500000US261635302003
20.9,22.2,20.3,1500000US261635302004
50.5,50.2,55.6,1500000US261635302005
46,44.9,49,1500000US261635303001
47.9,37.4,57.8,1500000US261635303002
25.7,19.2,31,1500000US261635303003
29.4,22.6,52.4,1500000US261635304001
37.6,30.4,45.9,1500000US261635304002
41.7,40.4,45.1,1500000US261635305001
36.7,47.3,36.5,1500000US261635305002
44.3,27.8,49.4,1500000US261635305003
59.4,63.7,54.3,1500000US261635308001
23,18.2,23.2,1500000US261635308002
57.3,58,45.6,1500000US261635308003
43.4,43.6,43.3,1500000US261635308004
50.3,46.7,50.4,1500000US261635309001
40,43.1,39.9,1500000US261635309002
46.8,44.1,47.5,1500000US261635309003
37.8,25.8,53.7,1500000US261635311001
49.5,44.5,58.9,1500000US261635311002
40.3,33.9,41.3,1500000US261635312001
35.9,32.9,43.3,1500000US261635312002
29.2,29,33.2,1500000US261635312003
52.4,48.9,52.7,1500000US261635313001
53.3,53,54.3,1500000US261635313002
27.7,47.7,27.1,1500000US261635314001
43.6,40.6,48.1,1500000US261635314002
21.4,49.3,15.5,1500000US261635315001
37.1,31.1,46.1,1500000US261635315002
28.2,33.6,22.6,1500000US261635315003
57.5,24.4,60.1,1500000US261635315004
37.6,37.8,36.5,1500000US261635316001
46.5,50.4,35.7,1500000US261635316002
28.9,45.3,26.5,1500000US261635317001
49.8,43.6,62,1500000US261635317002
41.7,12.5,48.6,1500000US261635318001
